iter	Logloss
0	0.3947880925
1	0.2639605278
2	0.2221389578
3	0.1882781628
4	0.1759859876
5	0.1595996609
6	0.1527017887
7	0.145850711
8	0.143574061
9	0.1418937867
10	0.1383745937
11	0.13742686
12	0.1365913486
13	0.1357108156
14	0.13385688
15	0.1333279967
16	0.1328618602
17	0.1320750344
18	0.1317799394
19	0.1314054196
20	0.1311700435
21	0.1304324296
22	0.1300287987
23	0.1296762688
24	0.1293973552
25	0.1292113754
26	0.1289737149
27	0.1288277042
28	0.1284645613
29	0.1283194053
30	0.1281737652
31	0.128106075
32	0.1280202285
33	0.1277881519
34	0.1274678351
35	0.1273387117
36	0.1272502772
37	0.1271330439
38	0.1270664581
39	0.1269192314
40	0.1268275966
41	0.1267039839
42	0.1266272246
43	0.1265645144
44	0.1265052859
45	0.1263358585
46	0.1262486717
47	0.126211759
48	0.1261532614
49	0.1260856484
50	0.1260220154
51	0.1259476562
52	0.1258978517
53	0.1257639113
54	0.1255907369
55	0.1255110571
56	0.1254694003
57	0.1253885487
58	0.1253613118
59	0.1252373336
60	0.1252173435
61	0.1251825108
62	0.1251012321
63	0.1250730413
64	0.1249979767
65	0.1249175982
66	0.1248900354
67	0.1248642077
68	0.12475906
69	0.1247120753
70	0.1246431487
71	0.1246079562
72	0.1245755132
73	0.1245286421
74	0.1245024959
75	0.1244374326
76	0.1244154784
77	0.12435839
78	0.1242596992
79	0.1242146133
80	0.124155848
81	0.1241305689
82	0.1241072559
83	0.1240578461
84	0.1240038379
85	0.12398066
86	0.123965374
87	0.1239263
88	0.1239028675
89	0.1238629444
90	0.1238468229
91	0.1238204446
92	0.1237717345
93	0.123734459
94	0.1237046605
95	0.1236536383
96	0.1236227469
97	0.1236040917
98	0.1235818214
99	0.1235620808
100	0.1235389719
101	0.1235175927
102	0.1235061402
103	0.1234841854
104	0.1234644438
105	0.1234455464
106	0.1234041067
107	0.1233889466
108	0.1233564649
109	0.1233454945
110	0.1233309249
111	0.1233033934
112	0.1232878781
113	0.1232769023
114	0.1232667924
115	0.1232509658
116	0.1232339149
117	0.1232222114
118	0.1232074346
119	0.123182315
120	0.1231457327
121	0.1231312343
122	0.1231117546
123	0.1230968963
124	0.1230856972
125	0.1230712585
126	0.1230482541
127	0.123030937
128	0.1230187454
129	0.1230114047
130	0.1230043651
131	0.1229717962
132	0.1229554248
133	0.1229504138
134	0.1229288215
135	0.1228992611
136	0.122890289
137	0.122865849
138	0.1228546639
139	0.1228487621
140	0.1228405251
141	0.1228253652
142	0.1228186188
143	0.1227966152
144	0.1227819897
145	0.1227573555
146	0.122745578
147	0.1227305068
148	0.1226950414
149	0.1226885318
150	0.1226809988
151	0.1226689255
152	0.1226635053
153	0.1226578689
154	0.122653463
155	0.1226284896
156	0.1226141403
157	0.1226073509
158	0.1225968645
159	0.1225833066
160	0.122578602
161	0.1225564387
162	0.1225385148
163	0.1225281779
164	0.1225148221
165	0.1225000421
166	0.1224716093
167	0.1224676293
168	0.1224606254
169	0.1224507333
170	0.1224414578
171	0.1224354794
172	0.1224216068
173	0.1224017268
174	0.1223961827
175	0.1223902209
176	0.1223858951
177	0.1223704022
178	0.1223675114
179	0.1223615802
180	0.12234249
181	0.1223315826
182	0.1223266858
183	0.1223202643
184	0.1223103848
185	0.1223042681
186	0.1223004061
187	0.1222953719
188	0.1222840597
189	0.1222788383
190	0.122274933
191	0.1222610615
192	0.1222528418
193	0.1222488966
194	0.1222380454
195	0.1222267
196	0.1222163527
197	0.1222060518
198	0.1221962468
199	0.1221925129
200	0.1221848824
201	0.1221813858
202	0.1221766468
203	0.1221704428
204	0.1221574106
205	0.122147361
206	0.1221412131
207	0.1221383686
208	0.1221309975
209	0.1221160779
210	0.1221081817
211	0.122084702
212	0.1220788734
213	0.1220744816
214	0.1220688659
215	0.1220618779
216	0.1220495363
217	0.1220447782
218	0.122040437
219	0.1220315513
220	0.1220229731
221	0.1220179558
222	0.1220116363
223	0.1220066461
224	0.1219968848
225	0.121988452
226	0.121984396
227	0.1219803738
228	0.1219771692
229	0.1219724041
230	0.1219577961
231	0.1219546888
232	0.1219499657
233	0.1219327284
234	0.1219263133
235	0.1219239086
236	0.1219172656
237	0.1219134629
238	0.1219080799
239	0.1219040969
240	0.1218977596
241	0.1218946179
242	0.1218911605
243	0.1218877485
244	0.121885358
245	0.1218814077
246	0.1218784232
247	0.1218701322
248	0.1218647004
249	0.1218612911
250	0.1218598216
251	0.121850222
252	0.1218431993
253	0.1218396292
254	0.1218309367
255	0.1218276568
256	0.1218212765
257	0.1218170069
258	0.1218094969
259	0.1218028848
260	0.1217962343
261	0.1217877044
262	0.1217848904
263	0.1217783658
264	0.1217726063
265	0.1217679991
266	0.1217615177
267	0.1217571348
268	0.1217571374
269	0.1217463561
270	0.1217447494
271	0.1217415342
272	0.1217390873
273	0.1217354086
274	0.121733566
275	0.1217298993
276	0.1217279461
277	0.1217192376
278	0.1217146641
279	0.1217124214
280	0.1217094179
281	0.121704089
282	0.1217017575
283	0.1216949192
284	0.121690929
285	0.1216886249
286	0.1216788235
287	0.1216728114
288	0.1216624213
289	0.121660843
290	0.1216589755
291	0.1216589343
292	0.1216549043
293	0.1216523269
294	0.1216500384
295	0.1216485178
296	0.1216461918
297	0.1216377687
298	0.1216298101
299	0.1216258423
300	0.1216253629
301	0.1216237738
302	0.1216189818
303	0.1216136878
304	0.1216098685
305	0.1216078823
306	0.1216048333
307	0.1215984262
